,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,BALANCE SHEEET,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Tài sản cố định,"16,953,518,045,933.00","17,622,938,008,883.00","17,945,677,023,375.00","18,418,247,988,410.00","18,799,448,182,048.00","18,502,375,786,272.00","13,214,778,844,360.00","13,923,756,496,338.00","13,871,952,908,898.00","13,623,724,717,376.00","14,245,513,536,180.00","14,066,945,341,238.00","13,017,056,906,267.00","12,818,613,579,270.00","16,162,188,071,176.00"
GTCL TSCĐ hữu hình,"16,030,352,641,505.00","16,700,151,979,790.00","17,009,420,303,080.00","17,454,659,084,232.00","17,863,284,298,192.00","17,589,205,193,546.00","12,335,911,875,630.00","13,047,389,415,570.00","12,977,156,707,324.00","12,752,419,662,438.00","13,322,311,140,642.00","13,126,630,497,049.00","12,100,558,521,237.00","11,843,446,204,474.00","15,198,389,946,121.00"
Nguyên giá TSCĐ hữu hình,"26,272,945,175,646.00","27,324,994,196,419.00","27,947,447,248,501.00","28,652,752,188,910.00","29,445,825,944,742.00","29,558,214,250,576.00","23,509,580,180,900.00","24,514,301,244,986.00","24,646,495,917,659.00","24,737,270,914,890.00","27,144,502,001,312.00","27,217,146,158,556.00","25,607,025,805,364.00","25,613,559,325,769.00","29,312,850,247,835.00"
Khấu hao lũy kế TSCĐ hữu hình,"-10,242,592,534,141.00","-10,624,842,216,629.00","-10,938,026,945,421.00","-11,198,093,104,678.00","-11,582,541,646,550.00","-11,969,009,057,030.00","-11,173,668,305,270.00","-11,466,911,829,416.00","-11,669,339,210,335.00","-11,984,851,252,452.00","-13,822,190,860,670.00","-14,090,515,661,507.00","-13,506,467,284,127.00","-13,770,113,121,295.00","-14,114,460,301,714.00"
GTCL Tài sản thuê tài chính,"262,667,350,125.00","267,646,156,657.00","290,365,942,439.00","327,200,169,896.00","309,052,304,803.00","295,532,829,844.00","265,515,436,135.00","267,522,639,612.00","288,113,524,418.00","267,140,882,108.00","258,148,635,677.00","284,769,612,502.00","274,223,258,884.00","339,918,189,132.00","338,112,930,890.00"
Nguyên giá tài sản thuê tài chính,"290,192,577,450.00","295,620,400,161.00","321,457,994,651.00","361,306,729,000.00","349,480,850,228.00","347,098,993,987.00","305,683,445,169.00","318,133,269,720.00","335,805,927,142.00","331,401,187,085.00","306,829,405,097.00","345,830,865,606.00","284,562,354,070.00","360,106,010,391.00","373,407,913,952.00"
Khấu hao lũy kế tài sản thuê tài chính,"-27,525,227,325.00","-27,974,243,504.00","-31,092,052,212.00","-34,106,559,104.00","-40,428,545,425.00","-51,566,164,143.00","-40,168,009,034.00","-50,610,630,108.00","-47,692,402,724.00","-64,260,304,977.00","-48,680,769,420.00","-61,061,253,104.00","-10,339,095,186.00","-20,187,821,259.00","-35,294,983,062.00"
GTCL tài sản cố định vô hình,"660,498,054,303.00","655,139,872,436.00","645,890,777,856.00","636,388,734,282.00","627,111,579,053.00","617,637,762,882.00","613,351,532,595.00","608,844,441,156.00","606,682,677,156.00","604,164,172,830.00","665,053,759,861.00","655,545,231,687.00","642,275,126,146.00","635,249,185,664.00","625,685,194,165.00"
Nguyên giá TSCĐ vô hình,"810,336,715,889.00","814,437,794,114.00","814,830,257,597.00","814,047,207,597.00","814,345,793,597.00","814,046,466,037.00","819,583,939,287.00","824,992,230,710.00","832,837,065,815.00","841,584,046,301.00","1,014,558,338,894.00","1,013,948,743,644.00","1,010,359,841,452.00","1,014,456,405,446.00","1,015,173,729,670.00"
Khấu hao lũy kế TSCĐ vô hình,"-149,838,661,586.00","-159,297,921,678.00","-168,939,479,741.00","-177,658,473,315.00","-187,234,214,544.00","-196,408,703,155.00","-206,232,406,692.00","-216,147,789,554.00","-226,154,388,659.00","-237,419,873,471.00","-349,504,579,033.00","-358,403,511,957.00","-368,084,715,306.00","-379,207,219,782.00","-389,488,535,505.00"
