,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,CASH FLOW STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,221,495,000,000.00"
Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cổ tức đã trả,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-2,416,496,000,000.00",0.00,0.00
Tiền chi ra mua cổ phiếu quỹ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tiền thu được do bán cổ phiếu quỹ,0.00,0.00,0.00,0.00,0.00,0.00,"1,537,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lưu chuyển tiền thuần trong kỳ,"38,288,722,000,000.00","-12,383,943,000,000.00","14,592,411,000,000.00","19,058,282,000,000.00","6,797,716,000,000.00","36,168,767,000,000.00","47,789,548,000,000.00","15,955,334,000,000.00","947,551,000,000.00","-8,984,438,000,000.00","26,658,161,000,000.00","66,194,427,000,000.00","-5,555,838,000,000.00","127,164,150,000,000.00","-36,463,419,000,000.00"
Tiền và tương đương tiền đầu kỳ,"207,128,395,000,000.00","244,298,220,000,000.00","231,870,969,000,000.00","246,377,396,000,000.00","265,483,756,000,000.00","272,303,607,000,000.00","308,509,791,000,000.00","356,354,678,000,000.00","372,158,367,000,000.00","373,319,556,000,000.00","364,315,448,000,000.00","391,174,348,000,000.00","457,361,974,000,000.00","451,745,475,000,000.00","578,995,009,000,000.00"
Ảnh hưởng của chênh lệch tỷ giá,"-185,694,000,000.00","-43,308,000,000.00","-85,984,000,000.00","48,078,000,000.00","22,135,000,000.00","37,417,000,000.00","55,339,000,000.00","-151,645,000,000.00","213,638,000,000.00","-19,670,000,000.00","200,739,000,000.00","-6,801,000,000.00","-60,661,000,000.00","85,384,000,000.00","-108,919,000,000.00"
Tiền và tương đương tiền cuối kỳ,"245,231,423,000,000.00","231,870,969,000,000.00","246,377,396,000,000.00","265,483,756,000,000.00","272,303,607,000,000.00","308,509,791,000,000.00","356,354,678,000,000.00","372,158,367,000,000.00","373,319,556,000,000.00","364,315,448,000,000.00","391,174,348,000,000.00","457,361,974,000,000.00","451,745,475,000,000.00","578,995,009,000,000.00","542,422,671,000,000.00"
,,,,,,,,,,,,,,,
Dữ liệu được cung cấp bởi FiinTrade,,,,,,,,,,,,,,,
https://fiintrade.vn/,,,,,,,,,,,,,,,
